NAME,YEAR,REVENUE,EARNINGS,P/E_RATIO,P/S_RATIO,RESULT
Tofaş Türk Otomobil Fabrikası,2022,3.33,0.52,11.2611,0.7412,Revenue will increase
Tofaş Türk Otomobil Fabrikası,2021,3.09,0.41,11.8,0.9191,Revenue will increase
Tofaş Türk Otomobil Fabrikası,2020,3.29,0.28,9.43,0.6936,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Aston Martin,2022,1.62,0.25,1.53122,0.3103,Revenue will increase
Aston Martin,2021,1.47,0.29,19.8,1.49,Revenue will increase
Aston Martin,2020,0.83,0.64,8.34,2.28,Revenue will increase
Polestar,2022,1.23,0.25,12.7029,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Polestar,2021,1.33,1.01,NaN,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Polestar,2020,0.61,0.48,NaN,NaN,Revenue will increase
Rivian,2022,1.04,7.4,2.84866,28.7,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Rivian,2021,55,4.66,4.5,1000,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Rivian,2020,46.99,NaN,NaN,NaN,Revenue will increase
Leapmotor,2022,0.35,0.23,NaN,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Leapmotor,2021,0.49,0.44,NaN,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Leapmotor,2020,96.79,0.14,NaN,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Lucid Motors,2022,0.37,1.86,10.193,62.2,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Lucid Motors,2021,27.11,2.58,12.5,1000,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Lucid Motors,2020,46.99,NaN,NaN,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Kandi Technologies Group,2022,0.1,8.94,20,1.48,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Kandi Technologies Group,2021,91.48,29.21,11.1,2.69,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Kandi Technologies Group,2020,76.92,15.45,38.8,6.76,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Nikola,2022,44.26,0.72,1.60819,34.5,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Nikola,2021,46.99,0.69,5.71,NaN,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Nikola,2020,0.09,0.39,13.7,1000,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Cenntro Electric Group,2022,46.99,NaN,12.7337,NaN,Revenue will increase
Cenntro Electric Group,2021,8.57,16.43,91.3,NaN,Revenue will increase
Cenntro Electric Group,2020,5.46,5.2,155,NaN,Revenue will increase
Electra Meccanica,2022,5.53,78.44,1.77049,26.2,Revenue will increase
Electra Meccanica,2021,2.1,60.64,6.51,127,Revenue will increase
Electra Meccanica,2020,46.99,NaN,6.14,365,Revenue will increase
Arcimoto,2022,4.95,70.06,0.0731293,12.5,Revenue will increase
Arcimoto,2021,4.38,50.29,0.3173,66.8,Revenue will increase
Arcimoto,2020,2.17,17.4,1.11,207,Revenue will increase
Phoenix Motor,2022,3.87,17.03,2.19061,7.96,Revenue will increase
Phoenix Motor,2021,2.97,14.6,NaN,NaN,Revenue will increase
Phoenix Motor,2020,46.99,NaN,NaN,NaN,Revenue will increase
Sono,2022,0.2,0.14,0.59663,458.142,Revenue will increase
Sono,2021,0.01,74.16,8.29,Nan,Revenue will increase
Sono,2020,46.99,NaN,NaN,Nan,Revenue will increase
Fisker,2022,0.07,0.5,4.52601,31717.6,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Fisker,2021,0.1,0.48,9.65,1000,"Revenue will decrease,offer sale promotions to boost the volume of sales"
Fisker,2020,46.99,53.04,71.9,NaN,Revenue will increase
Canoo,2022,46.99,0.57,0.555556,NaN,"Loss of earnings ,increase the customer"
Canoo,2021,46.99,0.45,5.08,NaN,"Loss of earnings ,increase the customer"
Canoo,2020,2.55,79.35,14.8,NaN,"Loss of earnings ,increase the customer"
Arrival,2022,46.99,1.45,0.159866,NaN,"Loss of earnings ,increase the customer"
Arrival,2021,46.99,1.41,3.19,NaN,"Loss of earnings ,increase the customer"
Arrival,2020,46.99,0.16,139,NaN,"Loss of earnings ,increase the customer"
Lordstown Motors,2022,46.99,0.3,1.13953,NaN,"Loss of earnings ,increase the customer"
Lordstown Motors,2021,46.99,0.41,1.51,NaN,"Loss of earnings ,increase the customer"
Lordstown Motors,2020,46.99,0.11,NaN,NaN,"Loss of earnings ,increase the customer"
REE Automotive,2022,46.99,0.13,0.266875,NaN,"Loss of earnings ,increase the customer"
REE Automotive,2021,0,0.51,2.89,NaN,"Loss of earnings ,increase the customer"
REE Automotive,2020,46.99,NaN,NaN,NaN,"Loss of earnings ,increase the customer"
Mullen Automotive,2022,46.99,0.72,0.115501,NaN,"Loss of earnings ,increase the customer"
Mullen Automotive,2021,46.99,33.46,4.38,NaN,"Loss of earnings ,increase the customer"
Mullen Automotive,2020,46.99,NaN,5.34,NaN,"Loss of earnings ,increase the customer"
Faraday Future,2022,46.99,0.47,0.473684,NaN,"Loss of earnings ,increase the customer"
Faraday Future,2021,46.99,0.47,2.34,NaN,"Loss of earnings ,increase the customer"
Faraday Future,2020,46.99,NaN,NaN,NaN,"Loss of earnings ,increase the customer"
Porsche,2022,46.99,NaN,NaN,NaN,"Loss of earnings ,increase the customer"
Porsche,2021,46.99,NaN,NaN,NaN,"Loss of earnings ,increase the customer"
Porsche,2020,46.99,NaN,NaN,NaN,"Loss of earnings ,increase the customer"
Atlis Motor Vehicles,2022,46.99,0.16,0.641,NaN,"Loss of earnings ,increase the customer"
Atlis Motor Vehicles,2021,46.99,0.14,NaN,NaN,"Loss of earnings ,increase the customer"
Atlis Motor Vehicles,2020,46.99,11.67,NaN,NaN,"Loss of earnings ,increase the customer"
